indic_to,c_resid,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 
LSTY,DOM,M06,NR,EU27_2020	7040841 	6760731 	4404883 	5494925 	4191055 
LSTY,DOM,M06,NR,FI	66084 	70144 	48778 	42431 	32622 
LSTY,DOM,M06,NR,FR	2314842 	2244117 	1334963 	1666478 	1276068 
LSTY,DOM,M06,NR,HR	63155 	57787 	34629 	52195 	45333 
LSTY,DOM,M06,NR,HU	45092 	37910 	34061 	42144 	35370 
LSTY,DOM,M06,NR,IE	57672 	106954 	26111 	49736 	43767 
LSTY,DOM,M06,NR,IS	3106 	3934 	2840 	2494 	2160 
LSTY,DOM,M06,NR,IT	834971 	679616 	328460 	670225 	578169 
LSTY,DOM,M06,NR,LI	5 	34 	8 	2 	6 
LSTY,DOM,M06,NR,LT	35456 	49026 	31080 	24130 	15470 
LSTY,DOM,M06,NR,LU	1219 	1263 	1242 	883 	752 
LSTY,DOM,M06,NR,LV	12621 	17792 	9941 	6868 	4815 
LSTY,DOM,M06,NR,MT	3206 	4312 	3574 	2987 	2478 
LSTY,DOM,M06,NR,NL	76319 	140150 	94800 	60609 	50393 
LSTY,DOM,M06,NR,NO	59126 	61171 	44773 	43607 	36298 
LSTY,DOM,M06,NR,PL	491554 	459968 	337017 	364241 	245714 
LSTY,DOM,M06,NR,PT	144218 	159366 	127606 	118123 	85759 
LSTY,DOM,M06,NR,RO	84700 	71746 	44360 	61695 	38321 
LSTY,DOM,M06,NR,SE	60084 	69737 	48822 	35347 	25833 
LSTY,DOM,M06,NR,SI	6639 	8873 	6993 	6098 	5702 
LSTY,DOM,M06,NR,SK	18644 	21954 	14876 	14382 	9857 
LSTY,DOM,M07,NR,AT	70694 	88386 	94930 	48512 	44221 
LSTY,DOM,M07,NR,BE	103133 	157106 	110368 	55991 	45388 
LSTY,DOM,M07,NR,BG	71951 	86112 	59180 	50696 	45097 
LSTY,DOM,M07,NR,CH	109416 	176655 	178019 	68422 	57240 
LSTY,DOM,M07,NR,CY	17589 	17365 	19715 	13107 	11390 
LSTY,DOM,M07,NR,CZ	114733 	132910 	119443 	79561 	69702 
LSTY,DOM,M07,NR,DE	1463309 	1524125 	1517209 	1155960 	881624 
LSTY,DOM,M07,NR,DK	77933 	127789 	132881 	73149 	58635 
LSTY,DOM,M07,NR,EE	27919 	36058 	23834 	17740 	14402 
LSTY,DOM,M07,NR,EL	257777 	258863 	166811 	212681 	180361 
LSTY,DOM,M07,NR,ES	2036829 	2210229 	1517034 	1515031 	1322078 
LSTY,DOM,M07,NR,EU27_2020	11562449 	12762512 	10026191 	8167628 	6818643 
LSTY,DOM,M07,NR,FI	104401 	124032 	90435 	62497 	48179 
LSTY,DOM,M07,NR,FR	4268900 	4631617 	3639341 	2756865 	2336159 
LSTY,DOM,M07,NR,HR	104149 	114895 	67641 	79863 	68746 
LSTY,DOM,M07,NR,HU	71538 	86722 	85943 	67823 	61635 
LSTY,DOM,M07,NR,IE	94002 	172158 	117437 	69007 	58738 
LSTY,DOM,M07,NR,IS	3122 	5800 	5134 	2761 	2614 
LSTY,DOM,M07,NR,IT	1260976 	1374687 	971936 	964491 	831507 
LSTY,DOM,M07,NR,LI	18 	11 	15 	3 	: 
LSTY,DOM,M07,NR,LT	51918 	66602 	46440 	27498 	23546 
LSTY,DOM,M07,NR,LU	1127 	1243 	998 	823 	856 
LSTY,DOM,M07,NR,LV	18056 	26220 	13823 	9408 	6783 
LSTY,DOM,M07,NR,MT	3297 	5267 	4853 	3060 	2258 
LSTY,DOM,M07,NR,NL	91652 	166535 	142466 	65490 	56640 
LSTY,DOM,M07,NR,NO	109007 	188575 	146945 	71411 	61178 
LSTY,DOM,M07,NR,PL	741954 	722248 	577778 	488832 	382275 
LSTY,DOM,M07,NR,PT	187711 	241929 	194364 	143204 	123205 
LSTY,DOM,M07,NR,RO	137492 	146767 	104741 	98064 	63568 
LSTY,DOM,M07,NR,SE	136375 	175312 	149421 	75733 	56493 
LSTY,DOM,M07,NR,SI	10441 	12235 	14202 	7745 	7578 
LSTY,DOM,M07,NR,SK	36593 	55100 	42967 	24797 	17579 
LSTY,DOM,M08,NR,AT	73753 	90730 	115699 	57354 	48614 
LSTY,DOM,M08,NR,BE	91671 	130864 	109377 	58922 	44488 
LSTY,DOM,M08,NR,BG	75787 	102766 	93496 	70935 	59531 
LSTY,DOM,M08,NR,CH	78995 	119361 	119096 	55826 	46669 
LSTY,DOM,M08,NR,CY	30457 	31964 	40613 	29311 	22301 
LSTY,DOM,M08,NR,CZ	92694 	118250 	115892 	77247 	63964 
LSTY,DOM,M08,NR,DE	1483480 	1661978 	1719603 	1178652 	881643 
LSTY,DOM,M08,NR,DK	44020 	62216 	61971 	40696 	39465 
LSTY,DOM,M08,NR,EE	22970 	22448 	20327 	15096 	12872 
LSTY,DOM,M08,NR,EL	360314 	376838 	278828 	335418 	262259 
LSTY,DOM,M08,NR,ES	2457314 	2853683 	2353194 	2110770 	1792227 
LSTY,DOM,M08,NR,EU27_2020	13786056 	15496563 	14168449 	11030261 	8973336 
LSTY,DOM,M08,NR,FI	63843 	68833 	55664 	38316 	30453 
LSTY,DOM,M08,NR,FR	5482472 	5700058 	5243425 	3982162 	3254678 
LSTY,DOM,M08,NR,HR	112650 	132660 	116761 	99547 	78752 
LSTY,DOM,M08,NR,HU	62632 	90550 	105610 	72173 	66197 
LSTY,DOM,M08,NR,IE	80911 	144553 	153314 	71038 	63664 
LSTY,DOM,M08,NR,IS	1905 	2758 	2551 	2251 	1813 
LSTY,DOM,M08,NR,IT	1847446 	2210895 	2020593 	1683320 	1418505 
LSTY,DOM,M08,NR,LI	: 	3 	: 	57 	7 
LSTY,DOM,M08,NR,LT	50944 	50800 	49249 	31857 	22487 
LSTY,DOM,M08,NR,LU	1078 	1149 	1007 	658 	638 
LSTY,DOM,M08,NR,LV	15441 	19005 	14602 	9313 	6461 
LSTY,DOM,M08,NR,MT	3048 	4904 	4986 	3244 	2519 
LSTY,DOM,M08,NR,NL	97632 	189872 	154948 	75456 	62820 
LSTY,DOM,M08,NR,NO	58831 	74911 	56088 	42791 	39478 
LSTY,DOM,M08,NR,PL	724329 	736850 	692771 	567512 	419467 
LSTY,DOM,M08,NR,PT	241817 	358456 	361323 	217016 	172270 
LSTY,DOM,M08,NR,RO	146111 	176807 	140277 	122244 	85951 
LSTY,DOM,M08,NR,SE	74741 	90123 	79167 	44549 	33011 
LSTY,DOM,M08,NR,SI	9908 	11499 	14078 	8933 	8028 
LSTY,DOM,M08,NR,SK	38593 	57812 	51674 	28522 	20071 
